Cas;GWP A1-C4 (kgCO2eq./m²);% of reuse;Material intensity (kg/m²);% of biogenic
K118;334;0.33;809;0.17
Hobelwerk;470;0.02;754;0.34
La Bistoquette;727;0.02;1482;0.13
Faraday;487;0.11;641;0.17
